FIPS10,County Name,City Name,"Total Population, 2018","Population in Households, 2018","Population in Group Quarters, 2018","Households, 2018","Persons per Household, 2018"
2700100460,Aitkin,Aitkin,2123,1919,204,937,2.05
2700129096,Aitkin,Hill City,622,611,11,271,2.25
2700138996,Aitkin,McGrath,73,62,11,31,2
2700139014,Aitkin,McGregor,381,381, -   ,179,2.13
2700149498,Aitkin,Palisade,152,152, -   ,69,2.2
2700164156,Aitkin,Tamarack,79,79, -   ,34,2.32
2700301486,Anoka,Andover,32728,32660,68,10550,3.1
2700301720,Anoka,Anoka,18573,17759,814,7545,2.35
2700305554,Anoka,Bethel,505,505, -   ,182,2.77
2700310648,Anoka,Centerville,4047,4047, -   ,1387,2.92
2700311494,Anoka,Circle Pines,5076,5072,4,2030,2.5
2700312700,Anoka,Columbia Heights,20840,20628,212,8385,2.46
2700312718,Anoka,Columbus,3950,3950, -   ,1447,2.73
2700313114,Anoka,Coon Rapids,63899,63497,402,24348,2.61
2700317486,Anoka,East Bethel,12029,12017,12,4230,2.84
2700322814,Anoka,Fridley,28824,28598,226,11710,2.44
2700326738,Anoka,Ham Lake,16394,16374,20,5530,2.96
2700329258,Anoka,Hilltop,794,794, -   ,400,1.99
2700336836,Anoka,Lexington,2109,2105,4,809,2.6
2700337322,Anoka,Lino Lakes,21347,19924,1423,6752,2.95
2700347536,Anoka,Nowthen,4758,4722,36,1525,3.1
2700347690,Anoka,Oak Grove,8689,8685,4,3011,2.88
2700353026,Anoka,Ramsey,27051,27035,16,9211,2.94
2700502728,Becker,Audubon,532,532, -   ,199,2.67
2700509280,Becker,Callaway,231,231, -   ,78,2.96
2700515832,Becker,Detroit Lakes,9475,9124,351,4328,2.11
2700522472,Becker,Frazee,1405,1346,59,569,2.37
2700534784,Becker,Lake Park,804,804, -   ,328,2.45
2700548130,Becker,Ogema,179,179, -   ,71,2.52
2700571338,Becker,Wolf Lake,60,60, -   ,22,2.73
2700705068,Beltrami,Bemidji,15462,13702,1760,6388,2.14
2700706256,Beltrami,Blackduck,840,804,36,360,2.23
2700722976,Beltrami,Funkley,10,10, -   ,6,1.67
2700732606,Beltrami,Kelliher,259,259, -   ,121,2.14
2700761114,Beltrami,Solway,89,89, -   ,29,3.07
2700764444,Beltrami,Tenstrike,211,211, -   ,86,2.45
2700765794,Beltrami,Turtle River,80,80, -   ,39,2.05
2700770708,Beltrami,Wilton,244,244, -   ,96,2.54
2700921536,Benton,Foley,2732,2579,153,1030,2.5
2700923804,Benton,Gilman,235,235, -   ,92,2.55
2700953998,Benton,Rice,1351,1351, -   ,500,2.7
2700958684,Benton,Sauk Rapids,13954,13541,413,5532,2.45
2701103718,Big Stone,Barry,13,13, -   ,5,2.6
2701104204,Big Stone,Beardsley,216,216, -   ,102,2.12
2701111980,Big Stone,Clinton,419,415,4,194,2.14
2701113384,Big Stone,Correll,30,30, -   ,16,1.88
2701124758,Big Stone,Graceville,565,517,48,262,1.97
2701132012,Big Stone,Johnson,27,27, -   ,14,1.93
2701148058,Big Stone,Odessa,119,119, -   ,53,2.25
2701148706,Big Stone,Ortonville,1816,1731,85,865,2
2701301324,Blue Earth,Amboy,510,510, -   ,227,2.25
2701317378,Blue Earth,Eagle Lake,3137,3133,4,1177,2.66
2701324506,Blue Earth,Good Thunder,529,529, -   ,210,2.52
2701334190,Blue Earth,Lake Crystal,2545,2545, -   ,1084,2.35
2701339320,Blue Earth,Madison Lake,1216,1216, -   ,490,2.48
2701340310,Blue Earth,Mapleton,1735,1670,65,686,2.43
2701350200,Blue Earth,Pemberton,227,227, -   ,86,2.64
2701356824,Blue Earth,Saint Clair,832,832, -   ,294,2.83
2701360754,Blue Earth,Skyline,279,271,8,111,2.44
2701366910,Blue Earth,Vernon Center,303,303, -   ,122,2.48
2701512394,Brown,Cobden,30,30, -   ,15,2
2701519880,Brown,Evan,79,79, -   ,31,2.55
2701527008,Brown,Hanska,369,369, -   ,165,2.24
2701546042,Brown,New Ulm,13645,12744,901,5984,2.13
2701560844,Brown,Sleepy Eye,3464,3352,112,1476,2.27
2701561816,Brown,Springfield,2051,1945,106,908,2.14
2701703628,Carlton,Barnum,605,599,6,233,2.57
2701710018,Carlton,Carlton,979,845,134,412,2.05
2701712160,Carlton,Cloquet,12347,12157,190,5028,2.42
2701713780,Carlton,Cromwell,240,240, -   ,135,1.78
2701732966,Carlton,Kettle River,173,173, -   ,76,2.28
2701743954,Carlton,Moose Lake,2794,1292,1502,652,1.98
2701758936,Carlton,Scanlon,992,979,13,429,2.28
2701771788,Carlton,Wrenshall,418,408,10,163,2.5
2701771824,Carlton,Wright,126,126, -   ,51,2.47
2701910144,Carver,Carver,4727,4727, -   ,1540,3.07
2701910972,Carver,Chaska,27622,27385,237,10136,2.7
2701912664,Carver,Cologne,1841,1841, -   ,644,2.86
2701926666,Carver,Hamburg,513,513, -   ,205,2.5
2701941138,Carver,Mayer,2295,2287,8,739,3.09
2701945556,Carver,New Germany,455,455, -   ,181,2.51
2701947520,Carver,Norwood Young America,3833,3823,10,1513,2.53
2701967036,Carver,Victoria,9918,9862,56,3220,3.06
2701967432,Carver,Waconia,13124,12999,125,4703,2.76
2701968548,Carver,Watertown,4654,4588,66,1677,2.74
