GEO_ID,cnty_name,total_pop,hispanic_latino_pop,nonhispanic_nonlatino_pop
0500000US27001,"Aitkin County, Minnesota",15834,214,15620
0500000US27003,"Anoka County, Minnesota",347431,15330,332101
0500000US27005,"Becker County, Minnesota",33773,674,33099
0500000US27007,"Beltrami County, Minnesota",46117,1064,45053
0500000US27009,"Benton County, Minnesota",39779,903,38876
0500000US27011,"Big Stone County, Minnesota",5016,80,4936
0500000US27013,"Blue Earth County, Minnesota",66322,2305,64017
0500000US27015,"Brown County, Minnesota",25211,1076,24135
0500000US27017,"Carlton County, Minnesota",35540,625,34915
0500000US27019,"Carver County, Minnesota",100416,4156,96260
0500000US27021,"Cass County, Minnesota",29022,621,28401
0500000US27023,"Chippewa County, Minnesota",12010,825,11185
0500000US27025,"Chisago County, Minnesota",54727,1146,53581
0500000US27027,"Clay County, Minnesota",62801,2796,60005
0500000US27029,"Clearwater County, Minnesota",8812,181,8631
0500000US27031,"Cook County, Minnesota",5311,120,5191
0500000US27033,"Cottonwood County, Minnesota",11372,844,10528
0500000US27035,"Crow Wing County, Minnesota",63855,923,62932
0500000US27037,"Dakota County, Minnesota",418201,29186,389015
0500000US27039,"Dodge County, Minnesota",20582,1031,19551
0500000US27041,"Douglas County, Minnesota",37203,594,36609
0500000US27043,"Faribault County, Minnesota",13896,928,12968
0500000US27045,"Fillmore County, Minnesota",20888,322,20566
0500000US27047,"Freeborn County, Minnesota",30526,2938,27588
0500000US27049,"Goodhue County, Minnesota",46217,1543,44674
0500000US27051,"Grant County, Minnesota",5938,134,5804
0500000US27053,"Hennepin County, Minnesota",1235478,85264,1150214
0500000US27055,"Houston County, Minnesota",18663,202,18461
0500000US27057,"Hubbard County, Minnesota",20862,429,20433
0500000US27059,"Isanti County, Minnesota",38974,751,38223
0500000US27061,"Itasca County, Minnesota",45203,638,44565
0500000US27063,"Jackson County, Minnesota",10047,348,9699
0500000US27065,"Kanabec County, Minnesota",16004,248,15756
0500000US27067,"Kandiyohi County, Minnesota",42658,5077,37581
0500000US27069,"Kittson County, Minnesota",4337,91,4246
0500000US27071,"Koochiching County, Minnesota",12644,41,12603
0500000US27073,"Lac qui Parle County, Minnesota",6773,149,6624
0500000US27075,"Lake County, Minnesota",10569,162,10407
0500000US27077,"Lake of the Woods County, Minnesota",3809,64,3745
0500000US27079,"Le Sueur County, Minnesota",27983,1643,26340
0500000US27081,"Lincoln County, Minnesota",5707,109,5598
0500000US27083,"Lyon County, Minnesota",25839,1721,24118
0500000US27085,"McLeod County, Minnesota",35825,2163,33662
0500000US27087,"Mahnomen County, Minnesota",5506,229,5277
0500000US27089,"Marshall County, Minnesota",9392,415,8977
0500000US27091,"Martin County, Minnesota",19964,851,19113
0500000US27093,"Meeker County, Minnesota",23079,883,22196
0500000US27095,"Mille Lacs County, Minnesota",25728,604,25124
0500000US27097,"Morrison County, Minnesota",32949,547,32402
0500000US27099,"Mower County, Minnesota",39602,4471,35131
0500000US27101,"Murray County, Minnesota",8353,320,8033
0500000US27103,"Nicollet County, Minnesota",33783,1503,32280
0500000US27105,"Nobles County, Minnesota",21839,5931,15908
0500000US27107,"Norman County, Minnesota",6559,329,6230
0500000US27109,"Olmsted County, Minnesota",153065,7402,145663
0500000US27111,"Otter Tail County, Minnesota",57992,1945,56047
0500000US27113,"Pennington County, Minnesota",14184,507,13677
0500000US27115,"Pine County, Minnesota",29129,836,28293
0500000US27117,"Pipestone County, Minnesota",9185,604,8581
0500000US27119,"Polk County, Minnesota",31591,2016,29575
0500000US27121,"Pope County, Minnesota",10980,149,10831
0500000US27123,"Ramsey County, Minnesota",541493,40569,500924
0500000US27125,"Red Lake County, Minnesota",4008,149,3859
0500000US27127,"Redwood County, Minnesota",15331,510,14821
0500000US27129,"Renville County, Minnesota",14721,1228,13493
0500000US27131,"Rice County, Minnesota",65765,5222,60543
0500000US27133,"Rock County, Minnesota",9413,282,9131
0500000US27135,"Roseau County, Minnesota",15462,192,15270
0500000US27137,"St. Louis County, Minnesota",200080,3284,196796
0500000US27139,"Scott County, Minnesota",143372,7275,136097
0500000US27141,"Sherburne County, Minnesota",93231,2369,90862
0500000US27143,"Sibley County, Minnesota",14912,1326,13586
0500000US27145,"Stearns County, Minnesota",156819,5168,151651
0500000US27147,"Steele County, Minnesota",36676,2806,33870
0500000US27149,"Stevens County, Minnesota",9784,554,9230
0500000US27151,"Swift County, Minnesota",9411,453,8958
0500000US27153,"Todd County, Minnesota",24440,1399,23041
0500000US27155,"Traverse County, Minnesota",3337,91,3246
0500000US27157,"Wabasha County, Minnesota",21500,613,20887
0500000US27159,"Wadena County, Minnesota",13646,257,13389
0500000US27161,"Waseca County, Minnesota",18809,1109,17700
0500000US27163,"Washington County, Minnesota",253317,10248,243069
0500000US27165,"Watonwan County, Minnesota",10973,2693,8280
0500000US27167,"Wilkin County, Minnesota",6343,52,6291
0500000US27169,"Winona County, Minnesota",50847,1459,49388
0500000US27171,"Wright County, Minnesota",132745,3807,128938
0500000US27173,"Yellow Medicine County, Minnesota",9868,448,9420
