FIPS10, County Name , City or Township Name ," Total Population, 2018 "," Population in Households, 2018 "," Population in Group Quarters, 2018 "," Households, 2018 "," Persons per Household, 2018 "
2700100460,Aitkin,Aitkin city," 2,123 "," 1,919 ", 204 , 937 ,2.05
2700100478,Aitkin,Aitkin township, 860 , 840 , 20 , 361 ,2.33
2700103358,Aitkin,Ball Bluff township, 260 , 260 , -   , 125 ,2.08
2700103412,Aitkin,Balsam township, 39 , 39 , -   , 21 ,1.86
2700104384,Aitkin,Beaver township, 44 , 44 , -   , 27 ,1.63
2700111620,Aitkin,Clark township, 152 , 152 , -   , 64 ,2.38
2700113330,Aitkin,Cornish township, 33 , 33 , -   , 17 ,1.94
2700120654,Aitkin,Farm Island township," 1,080 "," 1,080 ", -   , 495 ,2.18
2700121230,Aitkin,Fleming township, 319 , 319 , -   , 163 ,1.96
2700123930,Aitkin,Glen township, 428 , 428 , -   , 216 ,1.98
2700127602,Aitkin,Haugen township, 180 , 180 , -   , 95 ,1.89
2700128052,Aitkin,Hazelton township, 908 , 908 , -   , 434 ,2.09
2700129096,Aitkin,Hill City city, 622 , 611 , 11 , 271 ,2.25
2700129114,Aitkin,Hill Lake township, 435 , 435 , -   , 178 ,2.44
2700130788,Aitkin,Idun township, 250 , 250 , -   , 96 ,2.60
2700131958,Aitkin,Jevne township, 318 , 313 , 5 , 127 ,2.46
2700133218,Aitkin,Kimberly township, 190 , 190 , -   , 92 ,2.07
2700134982,Aitkin,Lakeside township, 449 , 449 , -   , 233 ,1.93
2700136152,Aitkin,Lee township, 44 , 44 , -   , 20 ,2.20
2700136908,Aitkin,Libby township, 51 , 51 , -   , 30 ,1.70
2700137844,Aitkin,Logan township, 174 , 174 , -   , 82 ,2.12
2700138996,Aitkin,McGrath city, 73 , 62 , 11 , 31 ,2.00
2700139014,Aitkin,McGregor city, 381 , 381 , -   , 179 ,2.13
2700139032,Aitkin,McGregor township, 95 , 95 , -   , 46 ,2.07
2700139212,Aitkin,Macville township, 200 , 200 , -   , 85 ,2.35
2700139590,Aitkin,Malmo township, 326 , 326 , -   , 163 ,2.00
2700142300,Aitkin,Millward township, 68 , 68 , -   , 37 ,1.84
2700144278,Aitkin,Morrison township, 194 , 194 , -   , 77 ,2.52
2700146546,Aitkin,Nordland township, 981 , 978 , 3 , 457 ,2.14
2700149498,Aitkin,Palisade city, 152 , 152 , -   , 69 ,2.20
2700151694,Aitkin,Pliny township, 92 , 92 , -   , 48 ,1.92
2700154106,Aitkin,Rice River township, 140 , 140 , -   , 71 ,1.97
2700158270,Aitkin,Salo township, 88 , 88 , -   , 46 ,1.91
2700159134,Aitkin,Seavey township, 55 , 55 , -   , 31 ,1.77
2700159368,Aitkin,Shamrock township," 1,245 "," 1,245 ", -   , 649 ,1.92
2700161546,Aitkin,Spalding township, 311 , 311 , -   , 116 ,2.68
2700161654,Aitkin,Spencer township, 493 , 485 , 8 , 211 ,2.30
2700164156,Aitkin,Tamarack city, 79 , 79 , -   , 34 ,2.32
2700165722,Aitkin,Turner township, 211 , 211 , -   , 97 ,2.18
2700166748,Aitkin,Verdon township, 38 , 38 , -   , 20 ,1.90
2700167540,Aitkin,Wagner township, 323 , 323 , -   , 151 ,2.14
2700168692,Aitkin,Waukenabo township, 331 , 331 , -   , 149 ,2.22
2700168872,Aitkin,Wealthwood township, 264 , 264 , -   , 137 ,1.93
2700170132,Aitkin,White Pine township, 31 , 31 , -   , 16 ,1.94
2700170384,Aitkin,Williams township, 129 , 129 , -   , 64 ,2.02
2700171716,Aitkin,Workman township, 203 , 203 , -   , 95 ,2.14
2700199901,Aitkin,Aitkin Co. Unorganized, 434 , 434 , -   , 196 ,2.21
2700301486,Anoka,Andover city," 32,728 "," 32,660 ", 68 ," 10,550 ",3.10
2700301720,Anoka,Anoka city," 18,573 "," 17,759 ", 814 ," 7,545 ",2.35
2700305554,Anoka,Bethel city, 505 , 505 , -   , 182 ,2.77
2700306382,Anoka,Blaine city (part)," 66,667 "," 66,419 ", 248 ," 24,206 ",2.74
2700310648,Anoka,Centerville city," 4,047 "," 4,047 ", -   ," 1,387 ",2.92
2700311494,Anoka,Circle Pines city," 5,076 "," 5,072 ", 4 ," 2,030 ",2.50
2700312700,Anoka,Columbia Heights city," 20,840 "," 20,628 ", 212 ," 8,385 ",2.46
2700312718,Anoka,Columbus city," 3,950 "," 3,950 ", -   ," 1,447 ",2.73
2700313114,Anoka,Coon Rapids city," 63,899 "," 63,497 ", 402 ," 24,348 ",2.61
2700317486,Anoka,East Bethel city," 12,029 "," 12,017 ", 12 ," 4,230 ",2.84
2700322814,Anoka,Fridley city," 28,824 "," 28,598 ", 226 ," 11,710 ",2.44
2700326738,Anoka,Ham Lake city," 16,394 "," 16,374 ", 20 ," 5,530 ",2.96
2700329258,Anoka,Hilltop city, 794 , 794 , -   , 400 ,1.99
2700336836,Anoka,Lexington city," 2,109 "," 2,105 ", 4 , 809 ,2.60
2700337322,Anoka,Lino Lakes city," 21,347 "," 19,924 "," 1,423 "," 6,752 ",2.95
2700337376,Anoka,Linwood township," 5,483 "," 5,470 ", 13 ," 1,983 ",2.76
2700347536,Anoka,Nowthen city," 4,758 "," 4,722 ", 36 ," 1,525 ",3.10
2700347690,Anoka,Oak Grove city," 8,689 "," 8,685 ", 4 ," 3,011 ",2.88
2700353026,Anoka,Ramsey city," 27,051 "," 27,035 ", 16 ," 9,211 ",2.94
2700356950,Anoka,St. Francis city (part)," 7,868 "," 7,868 ", -   ," 2,735 ",2.88
2700361996,Anoka,Spring Lake Park city (part)," 6,220 "," 6,204 ", 16 ," 2,620 ",2.37
2700502674,Becker,Atlanta township, 122 , 122 , -   , 42 ,2.90
2700502728,Becker,Audubon city, 532 , 532 , -   , 199 ,2.67
2700502746,Becker,Audubon township, 626 , 626 , -   , 248 ,2.52
2700508686,Becker,Burlington township," 1,630 "," 1,630 ", -   , 601 ,2.71
2700509280,Becker,Callaway city, 231 , 231 , -   , 78 ,2.96
2700509298,Becker,Callaway township, 294 , 294 , -   , 105 ,2.80
2700510126,Becker,Carsonville township, 230 , 230 , -   , 94 ,2.45
2700513294,Becker,Cormorant township," 1,106 "," 1,106 ", -   , 508 ,2.18
2700514230,Becker,Cuba township, 307 , 307 , -   , 113 ,2.72
2700515814,Becker,Detroit township," 1,962 "," 1,958 ", 4 , 805 ,2.43
2700515832,Becker,Detroit Lakes city," 9,475 "," 9,124 ", 351 ," 4,328 ",2.11
2700517455,Becker,Eagle View township, 128 , 128 , -   , 54 ,2.37
2700519646,Becker,Erie township," 1,714 "," 1,714 ", -   , 681 ,2.52
2700520006,Becker,Evergreen township, 375 , 375 , -   , 130 ,2.88
2700521671,Becker,Forest township, 84 , 84 , -   , 39 ,2.15
2700522472,Becker,Frazee city," 1,405 "," 1,346 ", 59 , 569 ,2.37
2700525820,Becker,Green Valley township, 398 , 398 , -   , 142 ,2.80
2700526684,Becker,Hamden township, 206 , 206 , -   , 82 ,2.51
2700528250,Becker,Height of Land township, 705 , 705 , -   , 297 ,2.37
2700529816,Becker,Holmesville township, 542 , 542 , -   , 227 ,2.39
2700534298,Becker,Lake Eunice township," 1,676 "," 1,668 ", 8 , 714 ,2.34
2700534784,Becker,Lake Park city, 804 , 804 , -   , 328 ,2.45
2700534802,Becker,Lake Park township, 511 , 469 , 42 , 182 ,2.58
2700535144,Becker,Lake View township," 1,740 "," 1,733 ", 7 , 719 ,2.41
2700540130,Becker,Maple Grove township, 463 , 463 , -   , 179 ,2.59
2700548130,Becker,Ogema city, 179 , 179 , -   , 71 ,2.52
2700548778,Becker,Osage township, 898 , 898 , -   , 372 ,2.41
2700551244,Becker,Pine Point township, 395 , 395 , -   , 122 ,3.24
2700554142,Becker,Riceville township, 84 , 83 , 1 , 31 ,2.68
2700554376,Becker,Richwood township, 700 , 696 , 4 , 256 ,2.72
2700556050,Becker,Round Lake township, 195 , 195 , -   , 75 ,2.60
2700556248,Becker,Runeberg township, 534 , 534 , -   , 180 ,2.97
2700558756,Becker,Savannah township, 181 , 181 , -   , 76 ,2.38
2700559512,Becker,Shell Lake township, 306 , 306 , -   , 140 ,2.19
2700560430,Becker,Silver Leaf township, 573 , 573 , -   , 202 ,2.84
2700561762,Becker,Spring Creek township, 122 , 122 , -   , 40 ,3.05
2700562212,Becker,Spruce Grove township, 429 , 429 , -   , 141 ,3.04
2700563256,Becker,Sugar Bush township, 524 , 524 , -   , 207 ,2.53
2700565002,Becker,Toad Lake township, 545 , 545 , -   , 208 ,2.62
2700566010,Becker,Two Inlets township, 229 , 229 , -   , 103 ,2.22
2700567954,Becker,Walworth township, 94 , 94 , -   , 38 ,2.47
2700570024,Becker,White Earth township, 827 , 827 , -   , 321 ,2.58
2700571338,Becker,Wolf Lake city, 60 , 60 , -   , 22 ,2.73
2700571356,Becker,Wolf Lake township, 279 , 279 , -   , 96 ,2.91
2700700586,Beltrami,Alaska township, 226 , 226 , -   , 96 ,2.35
2700703952,Beltrami,Battle township, 49 , 49 , -   , 21 ,2.33
2700705068,Beltrami,Bemidji city," 15,462 "," 13,702 "," 1,760 "," 6,388 ",2.14
2700705086,Beltrami,Bemidji township," 3,128 "," 3,064 ", 64 ," 1,153 ",2.66
2700705284,Beltrami,Benville township, 98 , 98 , -   , 39 ,2.51
2700705914,Beltrami,Birch township, 135 , 135 , -   , 52 ,2.60
2700706256,Beltrami,Blackduck city, 840 , 804 , 36 , 360 ,2.23
2700709082,Beltrami,Buzzle township, 302 , 302 , -   , 125 ,2.42
2700713258,Beltrami,Cormant township, 157 , 157 , -   , 69 ,2.28
2700717234,Beltrami,Durand township, 234 , 234 , -   , 94 ,2.49
2700717954,Beltrami,Eckles township," 1,735 "," 1,732 ", 3 , 671 ,2.58
2700722886,Beltrami,Frohn township," 1,504 "," 1,499 ", 5 , 585 ,2.56
2700722976,Beltrami,Funkley city, 10 , 10 , -   , 6 ,1.67
2700725352,Beltrami,Grant Valley township," 2,172 "," 2,163 ", 9 , 813 ,2.66
2700726468,Beltrami,Hagali township, 398 , 398 , -   , 156 ,2.55
2700726900,Beltrami,Hamre township, 13 , 13 , -   , 8 ,1.63
2700729348,Beltrami,Hines township, 673 , 673 , -   , 280 ,2.40
2700730194,Beltrami,Hornet township, 240 , 240 , -   , 102 ,2.35
